chr11	108093558	108093913	ATM	
chr11	108098321	108098423	ATM	
chr11	108098502	108098615	ATM	
chr11	108099904	108100050	ATM	
chr11	108106396	108106561	ATM	
chr11	108114679	108114845	ATM	
chr11	108115514	108115753	ATM	
chr11	108117690	108117854	ATM	
chr11	108119659	108119829	ATM	
chr11	108121427	108121799	ATM	
chr11	108122563	108122758	ATM	
chr11	108123543	108123639	ATM	
chr11	108124540	108124766	ATM	
chr11	108126941	108127067	ATM	
chr11	108128207	108128333	ATM	
chr11	108129712	108129802	ATM	
chr11	108137897	108138069	ATM	
chr11	108139136	108139336	ATM	
chr11	108141790	108141873	ATM	
chr11	108141977	108142133	ATM	
chr11	108143258	108143334	ATM	
chr11	108143448	108143579	ATM	
chr11	108150217	108150335	ATM	
chr11	108151721	108151895	ATM	
chr11	108153436	108153606	ATM	
chr11	108154953	108155200	ATM	
chr11	108158326	108158442	ATM	
chr11	108159703	108159830	ATM	
chr11	108160328	108160528	ATM	
chr11	108163345	108163520	ATM	
chr11	108164039	108164204	ATM	
chr11	108165653	108165786	ATM	
chr11	108168013	108168109	ATM	
chr11	108170440	108170612	ATM	
chr11	108172374	108172516	ATM	
chr11	108173579	108173756	ATM	
chr11	108175401	108175579	ATM	
chr11	108178623	108178711	ATM	
chr11	108180886	108181042	ATM	
chr11	108183137	108183225	ATM	
chr11	108186549	108186638	ATM	
chr11	108186737	108186840	ATM	
chr11	108188099	108188248	ATM	
chr11	108190680	108190785	ATM	
chr11	108192027	108192147	ATM	
chr11	108196036	108196271	ATM	
chr11	108196784	108196952	ATM	
chr11	108198371	108198485	ATM	
chr11	108199747	108199965	ATM	
chr11	108200940	108201148	ATM	
chr11	108202170	108202284	ATM	
chr11	108202605	108202764	ATM	
chr11	108203488	108203627	ATM	
chr11	108204612	108204695	ATM	
chr11	108205695	108205836	ATM	
chr11	108206571	108206688	ATM	
chr11	108213948	108214098	ATM	
chr11	108216469	108216635	ATM	
chr11	108218005	108218092	ATM	
chr11	108224492	108224607	ATM	
chr11	108225537	108225601	ATM	
chr11	108235808	108235945	ATM	
chr11	108236051	108239826	ATM	
chr3	52435019	52436437	BAP1	
chr3	52436617	52436690	BAP1	
chr3	52436794	52436887	BAP1	
chr3	52437153	52437314	BAP1	
chr3	52437431	52437910	BAP1	
chr3	52438468	52438602	BAP1	
chr3	52439125	52439310	BAP1	
chr3	52439780	52439928	BAP1	
chr3	52440268	52440392	BAP1	
chr3	52440844	52440923	BAP1	
chr3	52441189	52441332	BAP1	
chr3	52441414	52441476	BAP1	
chr3	52441973	52442093	BAP1	
chr3	52442489	52442622	BAP1	
chr3	52443569	52443624	BAP1	
chr3	52443729	52443759	BAP1	
chr3	52443857	52444121	BAP1	
chr17	41196311	41197819	BRCA1	
chr17	41199659	41199720	BRCA1	
chr17	41201137	41201211	BRCA1	
chr17	41203079	41203134	BRCA1	
chr17	41209068	41209152	BRCA1	
chr17	41215349	41215390	BRCA1	
chr17	41215890	41215968	BRCA1	
chr17	41219624	41219712	BRCA1	
chr17	41222944	41223255	BRCA1	
chr17	41226347	41226538	BRCA1	
chr17	41228504	41228628	BRCA1	
chr17	41231350	41231416	BRCA1	
chr17	41234420	41234592	BRCA1	
chr17	41242960	41243049	BRCA1	
chr17	41243451	41246877	BRCA1	
chr17	41247862	41247939	BRCA1	
chr17	41249260	41249306	BRCA1	
chr17	41251791	41251897	BRCA1	
chr17	41256138	41256278	BRCA1	
chr17	41256884	41256973	BRCA1	
chr17	41258472	41258550	BRCA1	
chr17	41267742	41267796	BRCA1	
chr17	41276033	41276132	BRCA1	
