chr17	37855766	37855886
chr17	37856468	37856588
chr17	37863282	37863402
chr17	37864620	37864740
chr17	37865578	37865698
chr17	37866040	37866160
chr17	37866336	37866456
chr17	37866603	37866723
chr17	37868180	37868300
chr17	37868578	37868698
chr17	37869404	37869524
chr17	37871515	37871635
chr17	37871684	37871804
chr17	37872032	37872152
chr17	37872560	37872680
chr17	37872753	37872873
chr17	37873595	37873715
chr17	37876003	37876123
chr17	37879581	37879701
chr17	37879792	37879912
chr17	37880154	37880274
chr17	37881011	37881131
chr17	37881319	37881439
chr17	37881557	37881677
chr17	37881973	37882093
chr17	37882803	37882923
chr17	37883102	37883222
chr17	37883614	37883734
chr17	37884059	37884179
chr7	140453136	140453137
chr2	209113111	209113114
chr15	90631837	90631840
chr3	10183725	10183726
chr1	115256528	115256531
chr7	140453136	140453138
chr17	41197695	41197819
chr17	41199660	41199720
chr17	41201138	41201211
chr17	41202079	41202109
chr17	41203080	41203134
chr17	41209069	41209152
chr17	41215350	41215390
chr17	41215891	41215968
chr17	41219625	41219712
chr17	41222945	41223255
chr17	41226348	41226538
chr17	41228505	41228631
chr17	41231351	41231416
chr17	41234421	41234592
chr17	41242961	41243049
chr17	41243452	41246877
chr17	41247863	41247939
chr17	41249261	41249306
chr17	41251792	41251897
chr17	41256139	41256278
chr17	41256885	41256973
chr17	41258473	41258550
chr17	41262552	41262597
chr17	41267743	41267796
chr17	41276034	41276113
chr17	41277199	41277202
chr12	25398280	25398286
chr13	28592642	28592643
chr2	25457148	25457289
chr2	25458576	25458694
chr2	25459805	25459874
chr2	25461999	25462084
chr2	25462359	25462382
chr2	25463171	25463319
chr2	25463509	25463599
chr2	25464431	25464576
chr2	25466767	25466851
chr2	25467024	25467207
chr2	25467409	25467521
chr2	25468122	25468201
chr2	25468889	25468933
chr2	25469029	25469178
chr2	25469489	25469645
chr2	25469920	25470027
chr2	25470460	25470618
chr2	25470906	25471121
chr2	25472526	25472593
chr2	25475063	25475066
chr2	25497810	25497956
chr2	25498369	25498412
chr2	25505257	25505580
chr2	25523008	25523112
chr2	25536782	25536853
chr4	55592023	55592217
chr3	178916614	178916967
chr3	178917478	178917687
chr3	178919078	178919328
chr3	178921332	178921577
chr3	178922291	178922376
chr3	178927383	178927488
chr3	178927974	178928126
chr3	178928219	178928353
chr3	178935998	178936122
chr3	178936984	178937065
chr3	178937359	178937523
chr3	178937737	178937840
